ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
071610837423,MADURO TORPEDO,6,PRMCIGAR,PREMIUM CIGAR
071610838307,STALK CUT TORO,6,PRMCIGAR,PREMIUM CIGAR
071610838369,STALK CUT ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
071610845534,VEGAFINA PERLA,6,PRMCIGAR,PREMIUM CIGAR
071610845558,VEGAFINA LONSLADE,6,PRMCIGAR,PREMIUM CIGAR
071610845565,VEGA FENA RUBOSTO,6,PRMCIGAR,PREMIUM CIGAR
071610845596,VEGAFINA CHURCHIL,6,PRMCIGAR,PREMIUM CIGAR
071610846050,VEGA FINA,6,PRMCIGAR,PREMIUM CIGAR
071610847330,SLR TORO,6,PRMCIGAR,PREMIUM CIGAR
071610847361,SLR TITAN,6,PRMCIGAR,PREMIUM CIGAR
071610847392,SLR ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
071610847552,VEGAFINA SUMUM,6,PRMCIGAR,PREMIUM CIGAR
071610847729,SERIE G ROTHCHILD,6,PRMCIGAR,PREMIUM CIGAR
071610848900,NATURAL ROTHCHILD,6,PRMCIGAR,PREMIUM CIGAR
071610854208,SLR ROTHCHILDE,6,PRMCIGAR,PREMIUM CIGAR
071610854215,SLR ROTHCHILDE MADURO,6,PRMCIGAR,PREMIUM CIGAR
071610854413,SLR TORO,6,PRMCIGAR,PREMIUM CIGAR
071610854581,SLR TORO MADURO,6,PRMCIGAR,PREMIUM CIGAR
071610854598,CHURCHIL MADURO,6,PRMCIGAR,PREMIUM CIGAR
071610854604,BELICOSO MADURO,6,PRMCIGAR,PREMIUM CIGAR
071610854888,TITAN MADURO,6,PRMCIGAR,PREMIUM CIGAR
